Unique_ID,Substitution,Library,Sublibrary,ScreeningPlate,ScreeningWell,MALDI,Msamples,Substrate,Abs,Aerror,Asamples,Fluoro,Ferror,Fsamples
H_C1-A10_RX_2_2_C06,C1-A10,RX,2,D2P3,H01,991.2399866666666,2,NA,5.501911953639368,1.1649143788045844,3,11.364338232088834,1.7995907471602381,3
H_C4-A10_RX_1_1_E03,C4-A10,RX,1,D4P2,B12,1303.5390155555554,6,Ala,-2.333205014556797,1.3203929855681933,5,2.541777778347048,2.71536852341345,5
H_C4-A10_RX_1_1_E01,C4-A10,RX,1,D4P2,B11,1303.5439822222222,6,Ala,-2.1365938473276422,1.5704780906836557,5,2.5738391796262845,2.4888817849705185,5
H_C4-A10_RX_1_1_E06,C4-A10,RX,1,D2P1,B10,991.3903966666667,2,NA,14.159911395666633,0.5654528816631254,3,27.163161344777023,5.537137770696622,3
H_C4-A10_SL_3_1_H12,C4-A10,SL,3,D4P1,G04,1319.5603577777777,6,Ser,8.444980196826231,3.235813801484516,5,36.1236363519483,6.361456663783466,5
H_C1-A10_RX_3_2_H09,C1-A10,RX,3,D3P3,B01,1140.3282933333335,2,NA,2.161576781459822,3.1178816859116094,3,5.896435917802763,0.5855758161661158,3
H_C1-A10_RX_3_2_H08,C1-A10,RX,3,D3P3,A12,991.3203933333332,2,NA,2.6324092073084926,1.9058510127698396,3,8.900133804607695,0.590477201621284,3
H_C4-A10_RX_3_3_E05,C4-A10,RX,3,D2P2,D03,991.3395466666666,2,NA,-1.4839492357964925,1.2682240549018753,3,0.9220153764939303,2.7791094611923652,3
H_C4-A10_RX_3_3_E02,C4-A10,RX,3,D2P2,D01,991.3790466666667,1,NA,1.18018087610279,0.7499573515394653,3,3.7461357422213504,2.4144313583766164,3
H_C4-A10_RX_3_3_E03,C4-A10,RX,3,D2P2,D02,1331.6314966666669,2,Val,2.6801323507205317,7.78879515870262,3,19.43182590960463,17.406398827052403,3
H_C1-A10_RX_3_2_H01,C1-A10,RX,3,D3P3,A11,991.3203933333332,2,NA,3.2679965472035626,1.8565128068446122,3,10.9945548511978,0.8953081884155256,3
H_C4-A10_RX_3_2_B11,C4-A10,RX,3,D2P1,H08,1331.6799466666666,1,Val,0.5413733069026424,2.1746922994033495,3,7.772350068123033,3.9404213549183327,3
H_C4-A10_RX_2_2_A09,C4-A10,RX,2,D3P1,A02,991.4103,2,NA,3.548441717659646,1.1558971488152765,3,8.589629534290237,2.5049069307500473,3
H_C4-A10_RX_2_2_A02,C4-A10,RX,2,D3P1,A01,991.41535,2,NA,2.7379371262060084,1.3249387377849482,3,7.20281099994039,2.550060563526709,3
H_C4-A10_RX_3_1_F03,C4-A10,RX,3,D4P1,C02,1303.614191111111,6,Ala,1.3822759380943757,2.01070337692675,5,21.824662894978015,4.502328450173668,5
H_C4-A10_RX_3_1_F01,C4-A10,RX,3,D1P1,D07,1331.6929233333333,2,Val,-0.015106434690174364,2.280601280585039,3,13.676120291202643,0.3107625449791888,3
H_C4-A10_RX_3_1_F06,C4-A10,RX,3,D1P1,D10,NA,0,NA,-2.2240309271376737,2.494956485575203,3,1.8201285490507273,2.7931520476718825,3
H_C4-A10_RX_3_1_F05,C4-A10,RX,3,D4P1,C03,1345.658307777778,6,Xle,4.43682316244651,2.9739289979090007,5,27.827843136522414,6.775432385563559,5
H_C1-A10_RX_4_1_C01,C1-A10,RX,4,D2P4,A09,1289.4463,2,Gly,0.45040898992851247,2.072499023573141,3,9.548120851500132,3.946491633310434,3
H_C4-A10_RX_3_1_F09,C4-A10,RX,3,D4P1,C04,1303.5879077777777,6,Ala,-1.2788324071058799,1.928810429352783,5,8.904041390607535,4.441767324242604,5
H_C4-A10_SL_1_2_C09,C4-A10,SL,1,D2P2,G08,1289.6747466666666,1,Gly,-0.5838293823377697,1.3580673172343942,3,1.6847858704522958,2.719533408124304,3
H_C4-A10_SL_3_2_D06,C4-A10,SL,3,D1P2,C12,NA,0,NA,2.71479368763989,2.0361343992943532,3,12.259277775037495,3.4340128326280315,3
H_C4-A10_SL_3_2_D04,C4-A10,SL,3,D1P2,C11,991.3857733333332,2,NA,9.636482546466913,1.543214886615857,3,20.81415094837584,2.784377026209178,3
H_C1-A10_SL_4_2_D04,C1-A10,SL,4,D4P4,H07,1139.1906186666668,5,NA,20.99437565486274,31.35787575024167,5,39.55602917188359,47.080902663569255,5
H_C1-A10_RX_3_3_E01,C1-A10,RX,3,D3P3,C07,991.3653433333333,2,NA,-1.2606534329560881,1.7338905640655229,3,3.1571713239502563,1.7591223784279266,3
H_C4-A10_RX_3_3_F12,C4-A10,RX,3,D4P2,H02,1390.639431111111,3,fhOrn,-0.4444615657433989,1.6187106043020338,4,5.687126306242003,3.012106506768706,4
H_C4-A10_SL_3_2_G02,C4-A10,SL,3,D1P2,D01,NA,0,NA,0.9985989174095048,0.5799057686209852,3,4.310926287936731,2.4164314612270603,3
H_C1-A10_RX_2_1_C07,C1-A10,RX,2,D2P3,F04,NA,0,NA,-0.7609388103246006,1.5803548551338096,3,10.606427424380202,6.204628783615515,3
H_C4-A10_SL_3_2_G08,C4-A10,SL,3,D4P1,G09,1319.555941111111,6,Ser,9.257056935633965,3.06859853522648,5,37.66837770230255,4.887157070714764,5
H_C4-A10_SL_3_2_G09,C4-A10,SL,3,D1P2,D03,991.4587733333332,1,NA,1.2542908249651348,1.6760886012502454,3,1.8660753179439276,2.6268274533272877,3
H_C1-A10_RX_3_3_A12,C1-A10,RX,3,D3P3,B05,NA,0,NA,-3.170035517947644,1.9033820227084095,3,-0.09801026730762204,2.7340584694015817,3
H_C4-A10_RX_2_2_B12,C4-A10,RX,2,D4P3,G03,1289.5203855555555,6,Gly,-0.04842649493016431,1.6132713806149306,5,6.855882414629714,2.4544114518164224,5
H_C4-A10_RX_2_2_B10,C4-A10,RX,2,D3P1,A06,1331.51325,2,Val,1.2014703401540945,0.23157580770588188,3,9.667863414099623,1.3056678197579032,3
H_C4-A10_RX_4_2_H04,C4-A10,RX,4,D4P4,C12,1289.5429355555555,6,Gly,7.258950309557056,3.3258910936619213,5,34.57866503526741,10.597366243519122,5
H_C4-A10_SL_1_2_C03,C4-A10,SL,1,D2P2,G07,991.3796466666666,2,NA,1.0375682097621033,2.751784444951888,3,2.6425771632226054,2.366921656581579,3
H_C1-A10_SL_2_3_B11,C1-A10,SL,2,D4P3,F11,1319.5148986666668,5,Ser,0.6581865272570916,2.2077585830484296,6,11.119354798125821,7.140268202473629,6
H_C1-A10_SL_1_1_A01,C1-A10,SL,1,D2P4,F07,991.43925,2,NA,0.7969416397366773,1.213396597136769,3,8.447156324952607,4.033382810759277,3
H_C1-A10_SL_1_1_A05,C1-A10,SL,1,D4P3,E01,1324.276642666667,5,NA,-1.7193352473743861,1.3006568757949635,5,5.9947026759117295,6.11850936203833,5
H_C4-A10_RX_4_2_F07,C4-A10,RX,4,D4P4,C10,1303.582402222222,6,Ala,4.277085447431866,1.4710994611833939,5,26.62138592363963,5.025853548982963,5
H_C4-A10_SL_1_1_H04,C4-A10,SL,1,D4P3,A01,1319.61026,5,Ser,40.41429100819202,26.2595046079437,5,70.61097760582213,22.544847991152203,5
H_C1-A10_RX_2_2_B03,C1-A10,RX,2,D2P3,G07,991.3656866666665,2,NA,0.17619430979308234,1.8529741061525413,3,4.755736453628521,2.34702287959513,3
H_C1-A10_RX_2_2_B04,C1-A10,RX,2,D2P3,G08,991.3663366666666,2,NA,0.8766236216044886,1.7612256110963087,3,7.424005407127851,2.2666301944276976,3
H_C1-A10_RX_1_3_B08,C1-A10,RX,1,D2P3,D10,991.3663866666666,1,NA,2.154537132634055,2.135369083501309,3,7.147761131885403,2.247801781207856,3
H_C1-A10_RX_3_2_E02,C1-A10,RX,3,D3P2,H06,991.3631366666666,2,NA,0.7725207980108957,2.538037947487186,3,2.3435183192188718,3.8322726792091997,3
H_C1-A10_RX_2_2_B09,C1-A10,RX,2,D2P3,G09,991.3663366666666,2,NA,-1.9961955693208306,0.9202597696566241,3,0.8386348572377349,2.988014980816652,3
H_C1-A10_RX_3_2_D04,C1-A10,RX,3,D4P4,F10,1333.538936,5,Thr,-0.8573411446640999,3.000158154733422,5,6.69324818337387,4.477292875574818,5
H_C1-A10_RX_3_2_E05,C1-A10,RX,3,D3P2,H07,991.3580866666666,2,NA,1.807293226088919,3.2759143626108083,3,4.093101335857688,3.3770208083646183,3
H_C4-A10_RX_1_1_H05,C4-A10,RX,1,D4P2,C06,1331.6146155555555,6,Val,29.8085280306029,9.731077944092748,6,70.00768063224923,10.345508222454507,6
H_C4-A10_RX_4_1_H05,C4-A10,RX,4,D3P1,F07,1331.58895,2,Val,4.017934582524527,2.4206220519589516,3,21.79777139730101,9.073610307415317,3
H_C4-A10_RX_1_1_H03,C4-A10,RX,1,D2P1,C07,991.3481466666667,1,NA,0.9893483065730931,1.183402075550962,3,4.294714713074491,1.657312789392891,3
H_C1-A10_RX_1_2_A01,C1-A10,RX,1,D4P3,B12,1289.531131111111,6,Gly,8.121302838288534,1.5955790682128592,5,34.952492605863874,6.485146247635218,5
H_C4-A10_SL_2_3_C06,C4-A10,SL,2,D4P1,F02,1303.5779546666665,5,Ala,-0.9807259342408787,1.1898575984073525,5,4.580505534949259,2.369484203507697,5
H_C4-A10_SL_3_3_D01,C4-A10,SL,3,D1P2,D12,NA,0,NA,6.6376378002971785,5.213494107818888,3,24.259143889868813,8.478949567421596,3
H_C4-A10_RX_1_1_H09,C4-A10,RX,1,D2P1,C10,991.3992966666667,2,NA,-0.6204159039277178,1.7115276161764459,3,1.8532947273188682,1.6095246216541772,3
H_C4-A10_RX_1_1_H08,C4-A10,RX,1,D4P2,C07,1390.6104822222223,6,fhOrn,15.73945063954755,6.697968892470279,5,50.57297160894669,8.696459176914603,5
H_C4-A10_SL_4_3_C03,C4-A10,SL,4,D2P3,B01,1161.4151866666666,2,NA,89.17308031923898,7.928707738369467,3,94.62316267613181,13.069823389068182,3
H_C1-A10_SL_1_1_B10,C1-A10,SL,1,D4P3,E03,1319.5659188888887,6,Ser,0.032130562482208004,1.5401357165635243,5,9.275986185718153,5.336385805421,5
