M16,"1331.5991(R15214,S8002)",,
M17,"1379.5740(R15008,S551)",,
M18,"1303.5792(R14648,S3562)",,
M19,"1319.5566(R15967,S319)",,
M20,"1319.5519(R16085,S222)",,
M21,"1333.5739(R16089,S8664)",,
M22,"1303.5667(R15521,S4103)",,
M23,"1333.5865(R14262,S7663)",,
M24,"1289.5242(R15957,S748)",,
N1,"1333.4220(R14882,S4821)",,
N2,"1333.5745(R14605,S1281)",,
N3,"1379.6113(R13987,S843)",,
N4,"1333.5806(R12959,S74)",,
N5,"1333.6045(R14355,S11368)",,
N6,"1333.5697(R14546,S754)",,
N7,"1361.5494(R15798,S180)",,
N8,"1289.5297(R14085,S590)",,
N9,"1333.5625(R14624,S1870)",,
N10,"1333.5599(R13130,S392)",,
N11,"1379.5684(R14889,S667)",,
N12,"1289.5192(R16505,S384)",,
N13,"1303.5417(R14528,S597)",,
N14,"1303.5568(R13977,S2434)",,
N15,"1303.5378(R14200,S242)",,
N16,"1289.5193(R16714,S240)",,
N17,"1303.5425(R14219,S198)",,
N18,"1289.5358(R14103,S480)",,
N19,"1379.5801(R15962,S1004)",,
N20,"1333.5685(R17968,S164)",,
N21,"1319.5488(R15576,S288)",,
N22,"1289.5386(R17814,S82)",,
N23,"1333.5552(R18360,S137)","991.4192(R12361,S2347)",
N24,"1289.5325(R16202,S403)","991.4192(R12361,S2347)",
O1,"1331.4253(R11017,S256)",,
O2,"1289.5491(R14491,S1841)",,
O3,"1331.6044(R16257,S9653)",,
O4,"1333.5607(R15026,S750)",,
O5,"1289.5358(R14692,S452)",,
O6,"1333.5557(R14663,S779)",,
O7,"1331.5894(R14701,S6205)",,
O8,"1289.5205(R13826,S1209)",,
O9,"1289.5048(R16403,S552)",,
O10,"1319.5292(R13735,S2488)",,
O11,"1289.5120(R14753,S1331)",,
O12,"1333.5452(R15429,S6922)",,
O13,"1331.5574(R15256,S8531)",,
O14,"1333.5385(R14842,S1753)",,
O15,"1379.5582(R15631,S1457)",,
O16,"1333.5620(R15451,S8451)",,
O17,"1331.5933(R15129,S3815)",,
O18,"1379.5795(R15631,S765)",,
O19,"1303.5480(R15147,S793)",,
O20,"1346.5957(R17317,S151)",,
O21,"1379.5885(R15784,S1835)",,
O22,"1379.5878(R17175,S406)",,
O23,"1395.5763(R16987,S1559)",,
O24,"991.4120(R13513,S3308)",,
P1,"1331.5862(R15994,S4356)",,
P2,"1388.6273(R15690,S955)",,
P3,"1331.5927(R13738,S6772)",,
P4,"1388.6117(R14716,S719)",,
P5,"1331.6292(R14943,S6089)",,
P6,"991.4152(R13110,S269)",,
P7,"1331.5891(R13550,S10761)",,
P8,"1379.5699(R14850,S4068)",,
P9,"1331.5878(R14148,S10921)",,
P10,"1333.5292(R13951,S2261)",,
P11,"1331.5989(R15364,S6789)",,
P12,"1379.5469(R16284,S663)",,
P13,"1289.5071(R15443,S2121)",,
P14,"991.3827(R10472,S250)",,
P15,"1289.5128(R14333,S1221)",,
P16,"991.4050(R11804,S3236)",,
P17,"1379.5925(R14342,S4224)",,
P18,"1333.5511(R16678,S6494)",,
P19,"1379.5665(R16943,S1553)",,
P20,"1379.5853(R15609,S3007)",,
P21,"1331.6121(R13534,S7893)",,
P22,"1303.5433(R16378,S3774)",,
P23,"1331.6023(R14448,S9908)",,
P24,"1333.5563(R15924,S1422)",,
